name,url,description
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,
SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,
Verify - Inductive Reasoning (2014),https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,
Search Engine Optimization (New),https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,
Verify - Working with Information,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,
Visual Basic for Applications (New),https://www.shl.com/products/product-catalog/view/visual-basic-for-applications-new/,
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,
Verify - Following Instructions,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,
Written English v1,https://www.shl.com/products/product-catalog/view/written-english-v1/,
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,
SHL Verify Interactive G+,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,
Verify - Numerical Ability,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,
Shell Scripting (New),https://www.shl.com/products/product-catalog/view/shell-scripting-new/,
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,
